gene,edge,net
K01647,6235,ko01100
K00031,4356,ko01100
K00031,4361,ko01100
K24182,4377,ko01100
K01623,2007,ko01100
K01803,4073,ko01100
K05298,5689,ko01100
K00927,2009,ko01100
K01834,2972,ko01100
K01689,2989,ko01100
K00873,3083,ko01100
K00163,1556,ko01100
K00033,2010,ko01100
K01057,2011,ko01100
K00036,5575,ko01100
K01625,2005,ko01100
K01810,4158,ko01100
K01792,3085,ko01100
K01690,3081,ko01100
K01835,4038,ko01100
K03077,1968,ko01100
K00853,2012,ko01100
K01804,2013,ko01100
K00011,2014,ko01100
"NA",2015,ko01100
K03331,2016,ko01100
K05351,1782,ko01100
K00854,1946,ko01100
K00011,2035,ko01100
K01805,1945,ko01100
K00853,1984,ko01100
K00039,2017,ko01100
K00963,1925,ko01100
K00012,2018,ko01100
K00699,5107,ko01100
K01195,2022,ko01100
K00002,2019,ko01100
K13247,2020,ko01100
"NA",2021,ko01100
K01812,2023,ko01100
K00040,2024,ko01100
K01686,2025,ko01100
K01685,2026,ko01100
K00041,3046,ko01100
K01812,3047,ko01100
K01213,3048,ko01100
K01184,3049,ko01100
K01051,3050,ko01100
K00965,1629,ko01100
K00849,2027,ko01100
K12447,2028,ko01100
K00975,1578,ko01100
K00703,2029,ko01100
K00700,5108,ko01100
K01176,2976,ko01100
K12047,1923,ko01100
K12047,1924,ko01100
K00696,5106,ko01100
"NA",2030,ko01100
K01784,1631,ko01100
"NA",2977,ko01100
K08679,2031,ko01100
K08678,2032,ko01100
K00770,2033,ko01100
K01198,2034,ko01100
K00820,2036,ko01100
K03431,5541,ko01100
K04042,1931,ko01100
K00972,1977,ko01100
K02473,1928,ko01100
K01791,1369,ko01100
K00790,1929,ko01100
K00075,2037,ko01100
K00885,2039,ko01100
K01654,2040,ko01100
K01097,2041,ko01100
K00983,2042,ko01100
K00847,2043,ko01100
K00846,1452,ko01100
K01623,2978,ko01100
"NA",2044,ko01100
K00844,2045,ko01100
K01809,4129,ko01100
K01840,2046,ko01100
K00966,134,ko01100
K01711,2047,ko01100
K02377,2048,ko01100
K00976,2049,ko01100
K05305,2050,ko01100
K01092,782,ko01100
K01109,783,ko01100
K01106,785,ko01100
K00911,786,ko01100
K01106,780,ko01100
K01107,781,ko01100
K01116,779,ko01100
K00889,767,ko01100
K00888,766,ko01100
K00913,787,ko01100
K00915,789,ko01100
K10572,788,ko01100
K00010,2051,ko01100
K03335,2052,ko01100
K03337,2053,ko01100
K03338,2054,ko01100
K03339,2990,ko01100
K01638,3024,ko01100
K01637,2971,ko01100
K00015,2055,ko01100
K15918,46,ko01100
K01601,2056,ko01100
K19269,2984,ko01100
K00015,2983,ko01100
K01595,3007,ko01100
K00101,1712,ko01100
K00158,1555,ko01100
K00925,2968,ko01100
K01571,3008,ko01100
K00140,2067,ko01100
K14468,2058,ko01100
K05605,2059,ko01100
"NA",2060,ko01100
"NA",1980,ko01100
K01578,2967,ko01100
K01692,2061,ko01100
K20626,2979,ko01100
K01026,4048,ko01100
K00248,2985,ko01100
K01895,4614,ko01100
K01965,5643,ko01100
K05606,2981,ko01100
K01847,2062,ko01100
K01034,2986,ko01100
K00929,2987,ko01100
K00634,2988,ko01100
K01053,2063,ko01100
K00103,2064,ko01100
K08232,3725,ko01100
"NA",3724,ko01100
K00423,3726,ko01100
K00135,2079,ko01100
K13524,1797,ko01100
K01580,1693,ko01100
K00262,4046,ko01100
K00278,4047,ko01100
K01744,2199,ko01100
K01914,2182,ko01100
K01752,4482,ko01100
K00058,2080,ko01100
K00831,2081,ko01100
K01079,2145,ko01100
K00928,2082,ko01100
K00133,6148,ko01100
K00003,2083,ko01100
K00872,2084,ko01100
K01733,2085,ko01100
K01620,4613,ko01100
K00600,635,ko01100
K00605,637,ko01100
K00281,2974,ko01100
K00836,2086,ko01100
K06720,2088,ko01100
K01620,2973,ko01100
K00641,2089,ko01100
K01739,2090,ko01100
K01739,2091,ko01100
K00651,2092,ko01100
K01739,1669,ko01100
K01758,2093,ko01100
K01739,2095,ko01100
K00544,2202,ko01100
K00815,2196,ko01100
K01251,4601,ko01100
K00558,2123,ko01100
K00789,2096,ko01100
K01243,2097,ko01100
K08967,2098,ko01100
K08966,2099,ko01100
K08965,2100,ko01100
K08964,2101,ko01100
K08963,2102,ko01100
K00899,2103,ko01100
K01611,2104,ko01100
K08967,4467,ko01100
K00772,2194,ko01100
K00640,2105,ko01100
K01011,4070,ko01100
K00456,2106,ko01100
"NA",4069,ko01100
K14454,2107,ko01100
K01758,4068,ko01100
K01655,1978,ko01100
K16792,2108,ko01100
K05824,2109,ko01100
K00825,2204,ko01100
K05827,5948,ko01100
K05828,2110,ko01100
K05829,2111,ko01100
K05830,2112,ko01100
K05831,2994,ko01100
K01586,4801,ko01100
K01778,5866,ko01100
K01439,4620,ko01100
K00821,4619,ko01100
K00674,4618,ko01100
K00215,2113,ko01100
K01714,2114,ko01100
K00143,966,ko01100
K00293,5946,ko01100
K00290,2975,ko01100
K19064,2198,ko01100
K19064,2115,ko01100
K00306,2116,ko01100
K13609,2117,ko01100
"NA",2118,ko01100
"NA",5871,ko01100
K15791,2120,ko01100
K18123,2121,ko01100
K14454,2122,ko01100
K00294,2124,ko01100
K00286,6000,ko01100
K00472,6004,ko01100
K00286,6001,ko01100
K00294,4811,ko01100
"NA",2228,ko01100
K00819,2969,ko01100
K00611,2125,ko01100
K01755,2127,ko01100
K01478,2129,ko01100
K00613,2130,ko01100
K00933,2131,ko01100
"NA",2132,ko01100
K00765,2133,ko01100
K01523,2134,ko01100
K01496,2135,ko01100
K01814,2136,ko01100
K02500,2137,ko01100
K01693,5141,ko01100
K00817,5142,ko01100
K05602,2138,ko01100
K00013,2139,ko01100
K01590,2140,ko01100
K01745,2215,ko01100
K01712,2201,ko01100
K01468,2200,ko01100
K01479,2197,ko01100
K01626,2141,ko01100
K01735,2143,ko01100
K03785,2144,ko01100
K00014,2216,ko01100
K00891,2146,ko01100
K00800,2147,ko01100
K01736,4061,ko01100
K01656,2148,ko01100
K00766,2149,ko01100
K13501,2150,ko01100
K01656,2151,ko01100
K01850,2152,ko01100
K01713,2229,ko01100
K14454,2153,ko01100
K04517,2154,ko01100
K14454,3044,ko01100
K00500,753,ko01100
K00220,3043,ko01100
K00832,3042,ko01100
K00457,2155,ko01100
"NA",2156,ko01100
K00157,3039,ko01100
K00450,3040,ko01100
K01801,2157,ko01100
K00451,2158,ko01100
K01800,2159,ko01100
K00422,2173,ko01100
K01592,3028,ko01100
K00503,2169,ko01100
K00553,2160,ko01100
K00545,3031,ko01100
K00274,2161,ko01100
K00274,3029,ko01100
K00129,2174,ko01100
K00545,2162,ko01100
K00129,2163,ko01100
K13951,2164,ko01100
K00545,2165,ko01100
K00545,2166,ko01100
K00274,3032,ko01100
K00274,3030,ko01100
K00545,2167,ko01100
K00274,5180,ko01100
K00129,1947,ko01100
K00545,1948,ko01100
K00129,2998,ko01100
K00274,2168,ko01100
K00505,2170,ko01100
K00422,3027,ko01100
"NA",2172,ko01100
"NA",3033,ko01100
K00505,2996,ko01100
"NA",3034,ko01100
"NA",3035,ko01100
K01827,2997,ko01100
K00431,3045,ko01100
K01557,2075,ko01100
K00453,1957,ko01100
K01432,4250,ko01100
K01556,4062,ko01100
K00816,821,ko01100
K00486,4249,ko01100
K01556,2175,ko01100
K00452,2176,ko01100
K03392,2217,ko01100
K10217,2177,ko01100
"NA",2178,ko01100
K03334,1956,ko01100
K04103,2179,ko01100
K00128,2180,ko01100
K01593,826,ko01100
K00502,1958,ko01100
K01593,6132,ko01100
K00669,6133,ko01100
K00543,6134,ko01100
K00274,796,ko01100
K00128,2181,ko01100
K01940,2077,ko01100
K00147,2183,ko01100
K00931,2184,ko01100
K00619,2991,ko01100
K00930,2185,ko01100
K00145,2186,ko01100
K00818,2187,ko01100
K00620,4934,ko01100
K01948,2188,ko01100
K01581,4931,ko01100
K01480,4057,ko01100
K01583,2193,ko01100
K00657,2189,ko01100
K00274,5994,ko01100
K00128,5995,ko01100
K09470,2190,ko01100
K09471,2191,ko01100
K09472,2192,ko01100
"NA",1690,ko01100
K09473,1691,ko01100
K01754,2203,ko01100
K01652,2205,ko01100
K01687,2207,ko01100
K00826,2208,ko01100
K01652,2209,ko01100
K01687,2993,ko01100
K01649,2210,ko01100
K00052,2212,ko01100
"NA",4374,ko01100
K00826,2213,ko01100
K00826,2214,ko01100
K00632,2218,ko01100
K00022,3006,ko01100
K01692,2219,ko01100
K00248,2220,ko01100
K09699,2221,ko01100
K00166,5929,ko01100
K00253,2222,ko01100
K01968,2223,ko01100
K05607,2224,ko01100
K10775,2225,ko01100
K00232,2234,ko01100
K01692,2235,ko01100
K00022,2236,ko01100
K00232,2237,ko01100
K01692,2238,ko01100
K00022,2239,ko01100
K00632,2240,ko01100
K00232,2242,ko01100
K01692,2243,ko01100
K00022,2244,ko01100
K00632,2245,ko01100
K00232,2247,ko01100
K01692,2248,ko01100
K00022,2249,ko01100
K00632,2250,ko01100
K00232,2252,ko01100
K01692,2253,ko01100
K00022,2254,ko01100
K00632,2255,ko01100
K00232,2257,ko01100
K01692,2258,ko01100
K00022,2259,ko01100
K00626,2260,ko01100
K00232,2262,ko01100
K01692,2263,ko01100
K00022,2264,ko01100
K00626,2970,ko01100
K00665,2265,ko01100
K00665,2266,ko01100
K00665,2267,ko01100
K00665,2268,ko01100
K00665,2270,ko01100
K00665,2271,ko01100
K00665,2272,ko01100
K00665,2273,ko01100
K00665,2275,ko01100
K00665,2276,ko01100
K00665,2277,ko01100
K00665,2278,ko01100
K00665,2280,ko01100
K00665,2281,ko01100
K00665,2282,ko01100
K00665,2283,ko01100
K00665,2285,ko01100
K00665,2286,ko01100
K00665,2287,ko01100
K00665,2288,ko01100
K00665,2290,ko01100
K00665,2291,ko01100
K00665,2292,ko01100
K00665,2293,ko01100
K00665,2295,ko01100
K00665,2296,ko01100
K00665,2297,ko01100
K00665,2298,ko01100
K00665,2300,ko01100
K01897,2301,ko01100
K00665,1446,ko01100
K00665,22,ko01100
K01640,2302,ko01100
K00019,2303,ko01100
K01574,1667,ko01100
K01662,1514,ko01100
K00099,2304,ko01100
K00991,2305,ko01100
K00919,2306,ko01100
K01770,2307,ko01100
K03526,2308,ko01100
K03527,2309,ko01100
K01597,2310,ko01100
K00938,2311,ko01100
K00869,2312,ko01100
K00021,6101,ko01100
K00801,4092,ko01100
